,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,398,0.4,110,117,20181124-224300
1,臺北市,松山區,2,43331,43.38,110,117,20181124-224300
2,臺北市,松山區,3,16317,16.34,110,117,20181124-224300
3,臺北市,松山區,4,39440,39.49,110,117,20181124-224300
4,臺北市,松山區,5,396,0.4,110,117,20181124-224300
5,臺北市,信義區,1,412,0.4,120,142,20181124-224300
6,臺北市,信義區,2,45511,44.25,120,142,20181124-224300
7,臺北市,信義區,3,16586,16.13,120,142,20181124-224300
8,臺北市,信義區,4,39913,38.81,120,142,20181124-224300
9,臺北市,信義區,5,417,0.41,120,142,20181124-224300
10,臺北市,大安區,1,426,0.37,138,188,20181124-224300
11,臺北市,大安區,2,52215,45.68,138,188,20181124-224300
12,臺北市,大安區,3,17047,14.91,138,188,20181124-224300
13,臺北市,大安區,4,44134,38.61,138,188,20181124-224300
14,臺北市,大安區,5,492,0.43,138,188,20181124-224300
15,臺北市,中山區,1,453,0.39,127,133,20181124-224301
16,臺北市,中山區,2,44409,38.3,127,133,20181124-224301
17,臺北市,中山區,3,22408,19.32,127,133,20181124-224301
18,臺北市,中山區,4,48222,41.58,127,133,20181124-224301
19,臺北市,中山區,5,472,0.41,127,133,20181124-224301
20,臺北市,中正區,1,332,0.45,87,96,20181124-224301
21,臺北市,中正區,2,30560,41.73,87,96,20181124-224301
22,臺北市,中正區,3,11478,15.67,87,96,20181124-224301
23,臺北市,中正區,4,30522,41.68,87,96,20181124-224301
24,臺北市,中正區,5,344,0.47,87,96,20181124-224301
25,臺北市,大同區,1,266,0.38,82,82,20181124-224301
26,臺北市,大同區,2,20763,29.69,82,82,20181124-224301
27,臺北市,大同區,3,16896,24.16,82,82,20181124-224301
28,臺北市,大同區,4,31679,45.29,82,82,20181124-224301
29,臺北市,大同區,5,339,0.48,82,82,20181124-224301
30,臺北市,萬華區,1,427,0.41,117,117,20181124-224301
31,臺北市,萬華區,2,38666,37.05,117,117,20181124-224301
32,臺北市,萬華區,3,21400,20.5,117,117,20181124-224301
33,臺北市,萬華區,4,43411,41.59,117,117,20181124-224301
34,臺北市,萬華區,5,464,0.44,117,117,20181124-224301
35,臺北市,文山區,1,420,0.48,101,162,20181124-224301
36,臺北市,文山區,2,41368,47.15,101,162,20181124-224301
37,臺北市,文山區,3,11612,13.23,101,162,20181124-224301
38,臺北市,文山區,4,33902,38.64,101,162,20181124-224301
39,臺北市,文山區,5,442,0.5,101,162,20181124-224301
40,臺北市,南港區,1,287,0.43,72,72,20181124-224302
41,臺北市,南港區,2,26282,39.45,72,72,20181124-224302
42,臺北市,南港區,3,10830,16.26,72,72,20181124-224302
43,臺北市,南港區,4,28896,43.37,72,72,20181124-224302
44,臺北市,南港區,5,325,0.49,72,72,20181124-224302
45,臺北市,內湖區,1,523,0.36,146,150,20181124-224302
46,臺北市,內湖區,2,59903,41.06,146,150,20181124-224302
47,臺北市,內湖區,3,21050,14.43,146,150,20181124-224302
48,臺北市,內湖區,4,63801,43.73,146,150,20181124-224302
49,臺北市,內湖區,5,617,0.42,146,150,20181124-224302
50,臺北市,士林區,1,234,0.34,78,163,20181124-224302
51,臺北市,士林區,2,25256,36.42,78,163,20181124-224302
52,臺北市,士林區,3,15038,21.68,78,163,20181124-224302
53,臺北市,士林區,4,28532,41.14,78,163,20181124-224302
54,臺北市,士林區,5,288,0.42,78,163,20181124-224302
55,臺北市,北投區,1,368,0.39,100,141,20181124-224302
56,臺北市,北投區,2,36894,39.17,100,141,20181124-224302
57,臺北市,北投區,3,17242,18.31,100,141,20181124-224302
58,臺北市,北投區,4,39288,41.71,100,141,20181124-224302
59,臺北市,北投區,5,397,0.42,100,141,20181124-224302
60,新北市,板橋區,1,113317,46.19,295,338,20181124-224302
61,新北市,板橋區,2,132034,53.81,295,338,20181124-224302
62,新北市,三重區,1,77698,50.2,187,235,20181124-224303
63,新北市,三重區,2,77070,49.8,187,235,20181124-224303
64,新北市,中和區,1,74845,36.72,228,244,20181124-224303
65,新北市,中和區,2,129008,63.28,228,244,20181124-224303
66,新北市,永和區,1,33244,32.64,120,138,20181124-224303
67,新北市,永和區,2,68622,67.36,120,138,20181124-224303
68,新北市,新莊區,1,80729,48.4,203,253,20181124-224303
69,新北市,新莊區,2,86063,51.6,203,253,20181124-224303
70,新北市,新店區,1,45197,31.27,161,176,20181124-224304
71,新北市,新店區,2,99336,68.73,161,176,20181124-224304
72,新北市,樹林區,1,36680,45.89,99,111,20181124-224305
73,新北市,樹林區,2,43252,54.11,99,111,20181124-224305
74,新北市,鶯歌區,1,19922,46.65,49,50,20181124-224305
75,新北市,鶯歌區,2,22786,53.35,49,50,20181124-224305
76,新北市,三峽區,1,23653,42.64,70,70,20181124-224305
77,新北市,三峽區,2,31822,57.36,70,70,20181124-224305
78,新北市,淡水區,1,23494,40.86,70,96,20181124-224305
79,新北市,淡水區,2,34006,59.14,70,96,20181124-224305
80,新北市,汐止區,1,27687,39.39,80,111,20181124-224306
81,新北市,汐止區,2,42597,60.61,80,111,20181124-224306
82,新北市,瑞芳區,1,7764,37.93,45,46,20181124-224306
83,新北市,瑞芳區,2,12704,62.07,45,46,20181124-224306
84,新北市,土城區,1,49477,43.89,136,142,20181124-224306
85,新北市,土城區,2,63243,56.11,136,142,20181124-224306
86,新北市,蘆洲區,1,48350,50.56,104,104,20181124-224306
87,新北市,蘆洲區,2,47271,49.44,104,104,20181124-224306
88,新北市,五股區,1,19464,47.7,46,48,20181124-224306
89,新北市,五股區,2,21340,52.3,46,48,20181124-224306
90,新北市,泰山區,1,12500,46.36,34,47,20181124-224307
91,新北市,泰山區,2,14464,53.64,34,47,20181124-224307
92,新北市,林口區,1,20883,40.92,62,62,20181124-224307
93,新北市,林口區,2,30150,59.08,62,62,20181124-224307
94,新北市,深坑區,1,5153,40.03,16,16,20181124-224307
95,新北市,深坑區,2,7720,59.97,16,16,20181124-224307
96,新北市,石碇區,1,2488,52.27,13,13,20181124-224307
97,新北市,石碇區,2,2272,47.73,13,13,20181124-224307
98,新北市,坪林區,1,2255,55.46,10,10,20181124-224307
99,新北市,坪林區,2,1811,44.54,10,10,20181124-224307
100,新北市,三芝區,1,4915,40.6,18,18,20181124-224308
101,新北市,三芝區,2,7191,59.4,18,18,20181124-224308
102,新北市,石門區,1,2928,41.3,10,10,20181124-224308
103,新北市,石門區,2,4162,58.7,10,10,20181124-224308
104,新北市,八里區,1,8982,46.0,20,20,20181124-224308
105,新北市,八里區,2,10545,54.0,20,20,20181124-224308
106,新北市,平溪區,1,1417,46.72,12,12,20181124-224308
107,新北市,平溪區,2,1616,53.28,12,12,20181124-224308
